ID,taxon,type,p_scat,samples,total_in,mean_in,map,mat,cover,rugged
1,bird,scat,1,56,n/a,n/a,731.2222222,16.88337994,45.37575704,92.27556665
2,bird,scat,1,163,n/a,n/a,838.9,15.65974798,51.32671125,109.8693341
3,bird,stomach,0,26,n/a,n/a,710.3333333,14.73564879,11.76171424,55.01908805
4,bird,stomach,0,29,n/a,n/a,394.0833333,16.0572923,0.852556518,140.5966082
5,bird,stomach,0,148,n/a,n/a,908,12.39599905,9.706605004,46.60692378
6,bird,scat,1,217,n/a,n/a,819.1111111,14.58078766,7.677903674,25.21439288
7,bird,scat,1,1888,n/a,n/a,1105.583333,13.29388928,49.47542913,121.6853919
8,bird,scat,1,112,n/a,n/a,1808.777778,5.740416951,64.78530157,195.8852136
9,bird,scat,1,160,n/a,n/a,1808.777778,5.740416951,64.78530157,195.8852136
10,bird,scat & stomach,0.81,22,n/a,n/a,219.6,22.9615427,0.723177878,10.52266896
11,bird,stomach,0,288,n/a,n/a,406.2,16.59350128,0.24405632,1.455233757
12,bird,scat,1,49,n/a,n/a,2064.666667,13.28326329,58.88124355,175.5903884
13,bird,scat,1,42,n/a,n/a,1277.7,16.81930669,59.29786277,21.87411728
14,bird,scat,1,26,n/a,n/a,879,14.928582,73.6768945,47.85173305
15,bird,scat,1,6,n/a,n/a,901.0833333,14.44097257,64.44780929,65.58295529
16,bird,scat,1,17,n/a,n/a,1921.777778,13.64421336,65.12166699,153.8580088
17,bird,scat,1,7,n/a,n/a,1019.666667,16.10527674,62.36325954,23.64354676
18,bird,scat,1,26,n/a,n/a,1336.9,15.00845699,68.33421257,91.17703981
19,bird,scat,1,7,n/a,n/a,1336.6,16.85295792,41.77408401,41.96941076
20,bird,scat,1,8,n/a,n/a,958.5555556,14.71979117,62.26765807,39.37114126
21,bird,scat,1,5,n/a,n/a,1160.111111,16.1828697,72.91598781,41.76544918
22,bird,scat,1,37,n/a,n/a,1112.444444,13.79148102,79.53952376,97.33492497
23,bird,scat,1,73,n/a,n/a,1363.222222,14.88750119,63.15685418,46.73552586
24,bird,scat,1,26,n/a,n/a,1015.7,15.187708,59.43303488,63.33851418
25,bird,scat,1,72,n/a,n/a,812.9166667,14.15836827,7.032331134,18.73212771
